# Distance = 57.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.32	284.00	34.70	-3.24	26.79	189.88	1402.59	19827.42
0.63	282.00	18.80	-2.41	50.47	292.13	1303.47	10165.91
0.95	281.00	12.60	-0.21	72.14	320.60	1208.50	5354.80
1.26	280.00	10.60	2.45	90.82	326.59	1123.10	3300.36
1.58	280.00	10.80	3.54	108.12	325.90	1041.27	2103.94
1.89	279.00	7.67	4.40	123.29	320.40	967.69	1429.43
2.21	279.00	11.20	5.23	137.43	313.32	897.18	1006.49
2.52	279.00	4.45	6.01	149.84	305.50	833.78	748.35
2.84	279.00	5.03	6.75	161.33	297.22	773.03	612.35
3.15	279.00	4.26	7.48	171.56	290.70	718.39	534.72
3.47	279.00	4.14	8.19	181.11	286.88	666.05	422.40
3.79	279.00	5.73	8.90	189.80	283.42	617.52	288.59
4.10	280.00	4.52	9.60	197.34	279.37	573.89	189.15
4.42	280.00	4.86	10.25	204.41	274.03	532.06	95.70
4.73	280.00	1.59	10.97	210.60	267.50	487.58	49.26
5.05	281.00	1.85	11.69	215.35	260.40	441.24	24.96
5.36	282.00	4.81	12.31	218.91	253.49	408.32	12.96
5.68	282.00	20.30	13.02	222.04	246.69	380.67	6.52
5.99	283.00	12.80	13.74	224.98	240.45	359.58	3.40
6.31	284.00	8.08	14.46	228.22	234.35	341.54	1.71
6.62	284.00	7.81	15.07	231.93	228.92	326.70	0.89
6.94	285.00	10.40	15.79	235.94	223.68	306.23	0.45
7.57	286.00	6.82	17.23	242.45	214.14	257.47	0.12
7.89	287.00	13.40	17.95	243.91	209.75	227.66	0.06
8.20	287.00	10.50	18.77	244.06	205.73	209.07	0.03
8.31	288.00	2.93	18.97	244.14	204.35	204.24	0.02
8.52	288.00	5.58	19.59	244.43	201.86	197.13	0.02
8.83	288.00	5.74	20.30	245.34	198.26	187.41	0.01
9.15	288.00	7.00	21.12	245.90	194.78	171.33	0.00
9.78	289.00	12.70	22.56	245.25	188.37	138.98	0.00
10.10	289.00	3.89	23.18	244.00	185.30	127.27	0.00
11.04	288.00	5.02	25.23	239.18	177.32	102.81	0.00
11.36	288.00	3.39	25.74	237.64	174.80	97.25	0.00
11.67	288.00	10.70	26.35	236.26	172.47	92.94	0.00
13.57	285.00	4.07	29.02	230.28	159.94	69.68	0.00
13.88	284.00	8.92	29.38	229.01	158.15	65.64	0.00
14.20	284.00	5.69	29.84	228.03	156.35	61.84	0.00
16.61	278.00	9.14	32.61	219.86	144.57	45.35	0.00
19.35	273.00	6.10	35.69	212.46	133.94	26.39	0.00
22.19	269.00	2.26	39.89	201.82	125.08	19.60	0.00
24.92	265.00	1.32	44.61	194.49	118.03	14.04	0.00
27.66	262.00	3.15	49.22	187.22	112.03	9.81	0.00
30.50	257.00	4.71	51.48	179.93	106.69	6.71	0.00
33.23	252.00	4.96	51.89	173.14	102.21	4.38	0.00
35.96	247.00	2.58	50.25	166.11	98.25	2.89	0.00
38.80	242.00	2.52	48.30	159.33	94.59	1.90	0.00
41.54	238.00	2.30	47.17	153.43	91.42	1.28	0.00
44.27	235.00	0.63	47.68	147.95	88.55	0.87	0.00
47.11	236.00	1.40	49.73	142.73	85.84	0.58	0.00
49.84	239.00	2.07	50.56	138.21	83.46	0.39	0.00
52.58	242.00	2.63	49.43	133.98	81.25	0.26	0.00
55.42	245.00	1.64	49.12	129.96	79.14	0.18	0.00
58.15	247.00	1.31	50.56	126.43	77.26	0.12	0.00
60.89	246.00	2.14	53.22	123.20	75.51	0.08	0.00
63.62	243.00	4.00	53.84	120.17	73.87	0.05	0.00
66.46	239.00	4.67	53.63	117.27	72.27	0.04	0.00
69.19	234.00	5.12	53.12	114.70	70.83	0.02	0.00
71.93	230.00	2.10	53.02	112.26	69.47	0.02	0.00
74.77	228.00	1.32	53.32	109.91	68.14	0.01	0.00
77.50	228.00	1.60	54.04	107.81	66.93	0.01	0.00
80.23	227.00	3.16	54.66	105.81	65.78	0.01	0.00
83.07	226.00	3.48	54.96	103.86	64.64	0.00	0.00
85.81	224.00	3.71	54.86	102.09	63.60	0.00	0.00
88.54	222.00	1.49	54.35	100.40	62.62	0.00	0.00
91.38	222.00	1.18	53.73	98.74	61.64	0.00	0.00
94.12	224.00	1.22	53.22	97.22	60.73	0.00	0.00
99.69	227.00	2.80	52.91	94.34	59.01	0.00	0.00
108.31	229.00	4.12	51.38	90.37	56.61	0.00	0.00
