# Distance = 88.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
3.23	194.00	16.70	-7.97	37.15	248.50	78.56	371.12
9.18	172.00	8.10	-15.63	83.53	176.71	55.52	1.14
10.64	170.00	10.70	-16.24	92.09	164.32	54.39	0.17
11.58	170.00	6.80	-16.14	99.29	157.52	52.22	0.05
12.52	171.00	6.80	-16.04	107.74	151.54	52.54	0.01
13.57	172.00	12.10	-16.04	120.80	145.51	47.48	0.00
15.76	174.00	19.60	-15.53	131.65	135.02	27.30	0.00
24.94	193.00	23.20	18.69	111.71	107.35	3.42	0.00
26.30	194.00	23.00	21.04	108.26	104.53	2.78	0.00
34.96	201.00	7.20	34.22	92.64	90.67	0.00	0.00
36.84	202.00	17.10	37.39	88.80	88.32	0.00	0.00
47.38	205.00	16.00	54.35	75.25	77.88	0.00	0.00
64.59	204.00	16.00	61.29	63.17	66.70	0.00	0.00
