# Distance = 60.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.45	18.90	9.78	0.00	65.19	0.00	2096.34	0.00
1.34	58.30	10.50	0.00	120.17	0.00	997.68	0.00
2.23	74.10	5.69	0.00	137.48	0.00	691.26	0.00
3.12	119.00	4.27	0.00	146.18	0.00	574.33	0.00
4.01	141.00	3.76	0.00	157.86	0.00	548.02	0.00
4.90	195.00	4.54	0.00	175.79	0.00	524.14	0.00
5.79	227.00	4.20	0.00	199.19	0.00	483.52	0.00
6.69	246.00	4.24	0.00	217.87	0.00	426.75	0.00
7.58	268.00	5.56	0.00	228.65	0.00	376.92	0.00
8.47	283.00	2.96	0.00	241.76	0.00	345.98	0.00
10.23	291.00	9.81	0.00	260.94	0.00	282.74	0.00
12.06	310.00	4.74	0.04	275.04	0.00	199.54	0.00
13.44	310.00	20.40	0.40	277.98	0.00	164.72	0.00
15.18	310.00	16.10	3.11	282.25	0.00	131.46	0.00
16.83	314.00	13.50	15.18	283.33	0.00	96.52	0.00
18.56	317.00	12.70	22.91	276.47	0.00	70.44	0.00
20.30	319.00	10.40	33.06	272.19	0.00	62.60	0.00
21.94	318.00	10.80	33.62	273.00	0.00	50.58	0.00
23.68	317.00	9.30	39.67	271.34	0.00	32.65	0.00
25.41	317.00	7.23	44.98	261.62	0.00	19.67	0.00
27.06	312.00	8.39	46.29	252.97	0.00	13.79	0.00
28.80	312.00	8.37	43.21	243.84	0.00	7.98	0.00
30.53	311.00	11.50	45.08	233.85	0.00	4.31	0.00
32.18	310.00	14.50	52.43	224.75	0.00	2.73	0.00
33.91	313.00	15.90	59.70	216.21	0.00	1.63	0.00
35.65	320.00	8.83	61.56	208.83	0.00	1.34	0.00
37.30	321.00	7.88	63.33	202.65	0.00	0.94	0.00
39.03	320.00	8.00	62.96	196.77	0.00	0.72	0.00
40.76	315.00	9.82	62.40	191.39	0.00	0.59	0.00
42.41	312.00	9.07	62.21	186.89	0.00	0.59	0.00
