# Distance = 9.77 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.71	24.10	7.55	0.75	14.22	0.00	33.37	0.00
1.42	33.60	5.02	2.55	19.97	0.00	21.72	0.00
2.14	44.80	3.38	7.39	23.97	0.00	15.26	0.00
2.85	54.40	2.90	10.70	26.52	0.00	10.49	0.00
3.55	57.40	2.89	12.26	27.06	0.00	8.02	0.00
4.26	61.40	3.44	12.02	28.45	0.00	6.75	0.00
4.97	63.80	3.64	14.16	29.24	0.00	4.61	0.00
5.69	65.50	3.82	15.95	29.30	0.00	4.19	0.00
6.40	67.60	3.54	18.56	30.76	0.00	2.51	0.00
7.11	69.20	2.91	22.61	29.42	0.00	1.98	0.00
7.82	70.30	2.79	26.30	28.80	0.00	1.14	0.00
8.52	71.40	2.93	28.44	27.59	0.00	1.10	0.00
9.25	73.20	3.00	29.27	27.31	0.00	0.81	0.00
9.95	73.00	2.81	30.70	26.87	0.00	0.61	0.00
10.66	73.10	2.79	31.41	26.73	0.00	0.00	0.00
