# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.87	20.90	4.70	4.05	19.26	0.00	68.02	0.00
1.74	36.40	3.90	8.89	32.89	0.00	56.39	0.00
2.61	43.40	3.90	12.07	42.35	0.00	36.37	0.00
3.50	51.20	4.70	13.47	46.88	0.00	25.35	0.00
4.37	59.70	3.90	14.33	50.13	0.00	17.79	0.00
5.24	64.50	4.40	18.10	50.81	0.00	11.52	0.00
6.11	67.90	3.90	21.23	49.78	0.00	7.62	0.00
6.55	72.80	7.30	22.41	49.26	0.00	6.38	0.00
6.98	70.30	6.10	23.49	48.73	0.00	5.35	0.00
7.85	73.70	6.10	25.32	47.50	0.00	3.71	0.00
8.72	77.60	6.10	26.40	46.22	0.00	2.54	0.00
9.16	79.10	7.30	26.40	45.50	0.00	2.07	0.00
