# Distance = 13.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.25	20.90	3.40	-0.22	17.33	0.00	276.94	0.00
0.83	40.00	3.29	-1.80	34.96	0.00	168.99	0.00
1.38	51.50	2.96	-1.55	51.34	0.00	141.01	0.00
1.85	67.90	3.45	5.01	61.73	0.00	81.24	0.00
2.68	80.20	2.93	12.54	60.49	0.00	46.01	0.00
3.19	83.30	3.08	16.68	63.17	0.00	41.40	0.00
3.68	91.40	2.83	20.19	65.14	0.00	30.23	0.00
4.13	102.00	5.40	22.31	66.32	0.00	24.20	0.00
5.23	105.00	4.21	25.63	64.52	0.00	9.48	0.00
6.05	109.00	2.10	27.28	60.09	0.00	3.57	0.00
6.81	108.00	2.10	28.58	55.74	0.00	2.78	0.00
7.56	109.00	2.10	30.70	53.61	0.00	2.04	0.00
8.32	110.00	2.10	33.83	51.18	0.00	1.21	0.00
9.09	111.00	2.33	35.49	49.08	0.00	0.72	0.00
9.86	112.00	4.74	33.74	46.34	0.00	0.00	0.00
