# Distance = 53.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.78	14.50	8.10	3.09	15.78	0.00	53.49	0.00
2.34	32.60	26.80	8.01	29.57	0.00	27.34	0.00
3.91	48.60	11.30	11.69	39.92	0.00	21.36	0.00
5.47	58.10	6.10	14.84	44.43	0.00	11.76	0.00
7.04	65.90	8.71	17.28	44.27	0.00	7.46	0.00
8.60	72.50	12.20	20.43	44.23	0.00	4.27	0.00
10.17	78.60	28.40	23.88	42.94	0.00	2.88	0.00
17.97	97.10	10.00	35.26	33.89	0.00	0.23	0.00
21.07	99.40	10.00	36.58	30.93	0.00	0.09	0.00
22.72	100.00	10.00	37.09	29.59	0.00	0.05	0.00
28.61	99.10	10.00	39.02	25.82	0.00	0.00	0.00
