# Distance = 35.4 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.26	14.60	13.00	-0.50	5.06	0.00	34.28	0.00
0.44	10.00	7.00	-0.86	8.17	0.00	31.74	0.00
0.77	10.70	7.13	-1.55	13.14	0.00	26.03	0.00
0.89	17.40	9.60	-1.78	14.55	0.00	23.16	0.00
1.22	23.50	11.20	-2.43	17.29	0.00	17.48	0.00
1.55	31.00	5.20	-2.98	18.37	0.00	11.30	0.00
1.80	32.30	2.41	-3.18	18.25	0.00	10.51	0.00
2.21	40.90	5.90	-3.53	19.06	0.00	10.14	0.00
2.31	43.80	4.26	-3.66	19.39	0.00	9.91	0.00
2.54	44.80	4.50	-4.08	20.16	0.00	9.20	0.00
3.10	51.70	12.70	-5.16	22.16	0.00	8.56	0.00
3.43	55.70	4.50	-4.94	23.71	0.00	7.60	0.00
3.86	59.40	9.85	-3.07	24.94	0.00	6.05	0.00
4.09	62.00	4.50	1.31	25.34	0.00	5.43	0.00
4.37	63.00	3.20	4.42	25.74	0.00	4.75	0.00
4.76	66.60	6.90	7.13	26.09	0.00	3.90	0.00
5.40	71.30	2.95	11.25	26.17	0.00	2.77	0.00
5.86	72.30	15.50	13.88	25.92	0.00	2.15	0.00
6.08	73.40	6.00	14.94	25.73	0.00	1.92	0.00
6.43	72.40	5.81	16.72	25.39	0.00	1.61	0.00
6.97	77.10	12.10	19.67	24.74	0.00	1.25	0.00
7.96	80.30	13.50	24.09	23.76	0.00	0.92	0.00
10.29	84.70	6.00	31.66	22.09	0.00	0.37	0.00
15.49	86.90	5.60	39.34	17.78	0.00	0.00	0.00
16.26	85.80	8.60	39.55	17.09	0.00	0.00	0.00
