# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
3.50	102.00	7.00	0.00	138.23	0.00	367.95	0.00
5.24	125.00	6.10	0.00	163.99	0.00	200.43	0.00
6.98	145.00	4.90	8.76	177.95	0.00	156.27	0.00
8.72	164.00	3.90	23.82	182.72	0.00	66.34	0.00
10.47	162.00	4.80	31.14	173.68	0.00	42.03	0.00
12.19	160.00	4.80	37.29	166.41	0.00	26.80	0.00
13.94	156.00	4.80	46.45	159.41	0.00	15.65	0.00
16.03	146.00	4.85	53.13	148.01	0.00	6.69	0.00
22.30	158.00	4.90	48.17	124.21	0.00	1.41	0.00
27.52	168.00	10.60	42.67	109.50	0.00	0.29	0.00
30.08	169.00	10.60	40.52	103.96	0.00	0.14	0.00
32.52	167.00	15.20	39.01	99.53	0.00	0.00	0.00
