# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.74	54.70	8.30	0.00	52.62	0.00	88.43	0.00
3.50	85.40	7.00	5.24	59.95	0.00	40.84	0.00
5.24	93.80	6.20	17.89	62.66	0.00	24.98	0.00
6.98	98.70	5.20	25.97	65.09	0.00	17.98	0.00
8.72	103.00	5.20	29.85	66.99	0.00	10.91	0.00
10.47	107.00	5.20	34.48	67.16	0.00	6.05	0.00
12.19	109.00	5.20	40.30	63.93	0.00	2.66	0.00
13.94	108.00	7.40	42.57	59.68	0.00	0.84	0.00
15.68	108.00	7.40	40.84	54.03	0.00	0.00	0.00
16.61	108.00	7.40	39.98	51.70	0.00	0.00	0.00
