# Distance = 127.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.33	175.00	13.60	0.00	53.18	236.80	581.62	2991.90
2.34	237.00	3.65	0.00	84.90	258.48	514.34	1233.00
3.33	247.00	3.81	0.00	110.89	258.69	455.95	695.85
4.34	242.00	3.56	0.00	133.39	255.32	403.21	384.39
5.35	240.00	4.20	0.11	152.34	247.96	356.56	251.03
6.34	233.00	4.59	0.00	168.35	242.98	316.08	149.16
7.34	233.00	4.63	0.00	182.51	235.83	279.86	69.12
8.32	247.00	6.41	1.96	192.78	226.67	230.30	32.44
9.34	248.00	7.64	15.34	198.80	216.70	211.43	14.68
10.38	242.00	9.05	25.14	207.14	206.98	188.77	6.55
11.36	252.00	12.50	33.65	211.69	198.54	161.01	3.07
12.34	245.00	8.72	41.56	213.57	190.81	145.90	1.44
13.32	247.00	4.44	48.79	217.57	183.83	140.98	0.68
14.30	238.00	9.29	54.63	223.69	177.48	132.10	0.32
15.47	249.00	9.98	60.46	231.69	170.69	115.40	0.13
16.35	250.00	6.15	63.83	234.56	166.06	99.41	0.06
17.92	253.00	6.96	68.08	238.09	158.63	84.92	0.02
19.10	258.00	15.40	69.27	241.54	153.66	72.44	0.01
22.52	254.00	6.51	67.69	240.74	141.52	36.49	0.00
26.05	256.00	7.73	66.40	225.10	131.58	17.40	0.00
29.48	255.00	8.50	63.14	208.87	123.68	9.64	0.00
33.00	244.00	5.75	61.55	195.11	116.89	7.64	0.00
36.43	246.00	4.24	65.91	185.57	111.25	6.50	0.00
