# Distance = 64.5 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.25	34.10	18.80	1.71	29.40	0.00	81.19	0.00
3.75	78.40	6.54	4.27	49.15	0.00	28.11	0.00
6.25	96.90	2.44	7.23	50.52	0.00	15.91	0.00
8.76	108.00	1.26	11.57	51.47	0.00	10.69	0.00
11.25	113.00	1.00	13.37	53.63	0.00	8.58	0.00
13.74	114.00	0.86	16.66	57.25	0.00	6.03	0.00
16.22	121.00	0.68	23.15	57.75	0.00	3.50	0.00
18.71	126.00	0.55	30.33	55.23	0.00	2.13	0.00
21.30	128.00	0.63	35.52	52.60	0.00	1.35	0.00
23.79	129.00	0.61	39.51	50.52	0.00	0.80	0.00
26.28	129.00	0.65	42.00	47.75	0.00	0.59	0.00
28.77	131.00	0.73	44.90	45.88	0.00	0.38	0.00
31.25	131.00	0.83	45.10	43.92	0.00	0.25	0.00
33.74	131.00	0.75	43.00	42.10	0.00	0.17	0.00
36.23	127.00	1.24	42.30	40.43	0.00	0.11	0.00
38.82	126.00	1.40	42.40	38.83	0.00	0.07	0.00
41.31	130.00	1.62	41.70	37.43	0.00	0.05	0.00
43.80	132.00	2.01	40.21	36.18	0.00	0.03	0.00
46.28	134.00	2.10	38.81	35.02	0.00	0.02	0.00
48.77	129.00	2.66	37.11	33.97	0.00	0.01	0.00
51.26	132.00	4.67	35.72	33.04	0.00	0.01	0.00
53.75	125.00	5.95	34.72	32.10	0.00	0.00	0.00
