# Distance = 3.45 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.25	3.17	3.22	-1.04	6.45	0.00	73.77	0.00
0.50	10.50	3.32	-3.35	13.17	0.00	58.74	0.00
0.75	17.50	4.47	4.05	18.27	0.00	53.03	0.00
1.00	22.70	4.96	4.85	24.79	0.00	53.05	0.00
1.26	29.70	5.29	6.16	29.98	0.00	33.12	0.00
1.50	34.50	4.70	7.83	30.56	0.00	23.92	0.00
1.76	36.00	3.51	8.37	30.97	0.00	17.24	0.00
2.01	37.30	3.45	8.40	29.96	0.00	13.58	0.00
2.26	35.60	3.57	10.27	30.04	0.00	14.97	0.00
2.51	34.90	3.88	11.89	31.48	0.00	13.82	0.00
2.76	32.70	3.27	15.11	33.07	0.00	11.76	0.00
3.01	32.80	3.21	17.63	34.11	0.00	8.80	0.00
3.27	33.20	3.21	19.74	33.92	0.00	5.53	0.00
3.51	32.10	3.23	22.06	33.27	0.00	4.03	0.00
3.76	30.10	3.16	23.37	32.39	0.00	2.74	0.00
4.02	32.30	3.16	24.68	31.18	0.00	1.92	0.00
4.26	33.60	3.12	25.38	30.16	0.00	1.67	0.00
4.52	35.10	3.12	25.99	29.51	0.00	1.74	0.00
4.77	35.30	3.12	26.59	29.25	0.00	1.45	0.00
5.02	35.20	3.13	26.90	29.10	0.00	1.14	0.00
5.27	34.60	3.11	27.20	28.04	0.00	0.00	0.00
5.52	33.00	3.11	27.30	26.80	0.00	0.00	0.00
