# Distance = 6.5 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.47	22.20	2.81	-3.85	16.14	0.00	82.49	0.00
0.95	43.40	3.47	-1.38	24.37	0.00	52.72	0.00
1.42	60.20	3.04	-0.63	30.01	0.00	40.22	0.00
1.90	69.60	2.05	8.67	34.64	0.00	31.23	0.00
2.37	72.50	2.00	11.40	38.52	0.00	22.70	0.00
2.84	74.30	2.02	11.54	39.29	0.00	15.52	0.00
3.30	75.80	2.01	12.92	40.32	0.00	11.35	0.00
3.78	77.20	2.05	16.18	39.87	0.00	7.30	0.00
4.25	79.30	2.08	18.85	39.64	0.00	4.23	0.00
4.73	81.30	2.08	23.39	37.47	0.00	2.11	0.00
5.20	81.60	2.03	23.16	35.37	0.00	1.36	0.00
5.67	82.10	2.02	23.39	33.69	0.00	0.93	0.00
6.15	82.90	2.00	22.11	32.23	0.00	0.61	0.00
6.62	83.20	2.00	22.46	30.90	0.00	0.37	0.00
7.10	83.50	2.02	26.07	29.56	0.00	0.21	0.00
7.57	83.80	2.00	25.72	28.40	0.00	0.17	0.00
8.04	84.30	2.00	26.30	27.44	0.00	0.12	0.00
