# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.87	39.60	4.90	0.00	48.19	0.00	254.81	0.00
1.74	73.00	5.20	5.93	61.19	0.00	156.18	0.00
2.61	89.40	6.60	7.31	74.23	0.00	134.66	0.00
3.50	102.00	5.30	13.47	83.56	0.00	89.27	0.00
4.37	110.00	4.40	16.70	88.18	0.00	79.83	0.00
5.24	116.00	4.40	20.91	99.34	0.00	68.87	0.00
6.11	123.00	4.40	24.68	106.44	0.00	37.78	0.00
6.98	130.00	3.90	28.34	102.60	0.00	19.69	0.00
7.85	134.00	6.10	30.60	97.10	0.00	11.87	0.00
8.72	134.00	4.90	30.07	92.41	0.00	8.09	0.00
