# Distance = 24.2 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.33	4.00	7.90	1.71	21.94	0.00	329.26	0.00
0.99	17.00	8.60	2.41	47.32	0.00	226.54	0.00
1.76	33.30	7.90	-7.34	59.39	0.00	158.62	0.00
2.42	44.90	10.50	-10.59	70.77	0.00	134.99	0.00
3.19	53.00	7.90	0.97	81.19	0.00	93.50	0.00
3.85	60.80	7.90	9.74	83.68	0.00	70.65	0.00
4.62	69.00	7.90	11.43	87.03	0.00	55.35	0.00
5.28	76.60	7.90	16.36	90.49	0.00	49.76	0.00
5.94	85.00	7.90	17.72	93.96	0.00	36.24	0.00
7.04	78.10	6.70	24.54	93.48	0.00	19.51	0.00
8.80	81.60	6.70	35.45	87.18	0.00	7.06	0.00
10.56	84.50	6.70	33.35	79.10	0.00	1.49	0.00
