# Distance = 21.3 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.03	39.15	4.06	3.65	21.66	0.00	30.68	0.00
2.07	49.15	1.65	7.45	27.59	0.00	10.30	0.00
3.09	55.05	0.60	11.19	26.88	0.00	4.20	0.00
4.13	59.35	0.41	14.76	25.30	0.00	2.03	0.00
5.16	63.85	0.46	18.24	24.00	0.00	0.95	0.00
6.20	68.20	0.86	21.81	21.76	0.00	0.28	0.00
7.23	71.70	1.07	25.20	19.92	0.00	0.12	0.00
8.26	73.50	1.07	27.64	18.42	0.00	0.05	0.00
9.28	73.15	1.00	28.96	17.21	0.00	0.02	0.00
10.34	72.50	0.74	29.43	16.16	0.00	0.01	0.00
11.40	73.00	1.07	28.96	15.29	0.00	0.00	0.00
12.37	74.70	2.09	27.83	14.60	0.00	0.00	0.00
