# Distance = 29.3 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.16	160.00	36.00	-1.22	8.07	119.49	516.57	16013.38
0.32	177.00	30.90	-1.20	15.74	184.15	504.88	8275.13
0.49	180.00	25.30	-1.08	23.42	201.67	492.74	4561.05
0.65	180.00	32.00	-0.96	30.30	207.64	481.58	2982.73
1.30	182.00	4.72	-0.33	55.43	203.18	438.80	756.43
1.46	183.00	10.80	0.44	61.06	200.04	428.86	576.90
1.62	184.00	7.43	0.74	66.51	196.81	419.15	433.08
3.72	206.00	8.42	4.94	126.30	147.67	305.74	0.87
3.89	207.00	4.54	5.38	130.52	144.55	297.38	0.48
4.05	209.00	5.36	5.86	134.47	141.56	291.65	0.28
4.22	210.00	2.43	6.37	138.94	138.76	286.76	0.16
4.26	210.00	4.60	6.53	140.05	138.12	285.57	0.13
4.38	211.00	2.80	6.92	143.43	136.21	282.20	0.09
4.54	213.00	2.18	7.46	148.24	133.79	278.12	0.05
4.71	214.00	7.61	7.98	153.86	131.35	269.69	0.03
4.86	215.00	4.70	8.49	158.53	129.31	255.82	0.02
5.02	215.00	2.34	9.00	162.82	127.24	236.68	0.01
5.18	216.00	2.95	9.51	166.08	125.27	217.59	0.01
5.35	217.00	4.48	10.02	168.84	123.26	198.81	0.00
5.51	217.00	3.99	10.53	170.67	121.46	180.68	0.00
5.68	218.00	5.14	11.06	171.80	119.61	163.83	0.00
5.84	218.00	2.51	11.59	172.47	117.97	151.85	0.00
6.00	219.00	3.95	12.13	172.94	116.40	142.07	0.00
6.15	219.00	7.84	12.55	173.44	114.95	134.81	0.00
6.48	219.00	7.74	13.72	174.41	111.99	115.63	0.00
6.64	219.00	6.69	14.25	174.58	110.63	107.00	0.00
6.81	220.00	6.26	14.68	174.53	109.24	98.11	0.00
7.10	220.00	2.52	15.64	174.07	106.99	82.68	0.00
7.13	220.00	11.40	15.74	173.95	106.76	81.11	0.00
8.52	220.00	2.93	20.10	162.17	97.67	42.84	0.00
10.66	225.00	1.79	25.95	149.89	87.32	25.13	0.00
11.99	228.00	5.71	28.72	144.35	82.33	18.64	0.00
12.10	228.00	9.96	29.04	143.90	81.96	18.15	0.00
12.33	228.00	8.24	29.36	143.03	81.19	17.16	0.00
12.78	229.00	1.74	30.21	141.37	79.75	15.35	0.00
14.93	228.00	1.64	33.50	133.30	73.78	8.44	0.00
17.08	226.00	1.34	35.21	125.19	68.98	4.75	0.00
19.23	226.00	1.39	35.84	117.76	65.01	2.40	0.00
21.27	227.00	1.11	35.52	111.00	61.81	1.83	0.00
23.42	227.00	1.37	34.46	106.04	58.91	1.10	0.00
25.57	224.00	2.79	32.87	101.01	56.38	0.42	0.00
27.72	218.00	9.41	31.59	96.03	54.15	0.24	0.00
29.87	215.00	8.18	30.53	91.96	52.16	0.13	0.00
32.02	219.00	5.06	29.67	88.37	50.38	0.07	0.00
34.05	211.00	7.05	29.04	85.42	48.86	0.00	0.00
