# Distance = 13.2 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.96	34.20	3.32	1.81	20.68	0.00	44.60	0.00
1.92	49.50	4.60	-7.24	30.32	0.00	24.65	0.00
2.88	59.90	4.38	-2.56	33.18	0.00	15.63	0.00
3.84	65.30	4.31	8.12	35.24	0.00	8.99	0.00
4.80	69.80	3.83	11.30	34.72	0.00	5.81	0.00
5.76	73.80	3.45	16.00	34.11	0.00	4.38	0.00
6.72	76.20	3.24	18.20	34.88	0.00	2.64	0.00
7.68	79.30	3.19	19.20	33.08	0.00	1.24	0.00
8.64	80.30	3.31	23.30	31.11	0.00	0.86	0.00
9.60	81.90	3.69	25.50	29.68	0.00	0.52	0.00
10.60	84.00	3.89	27.80	28.19	0.00	0.32	0.00
11.50	85.60	3.67	31.10	26.95	0.00	0.20	0.00
12.50	87.90	3.43	35.10	25.70	0.00	0.12	0.00
13.40	90.80	3.36	38.30	24.69	0.00	0.08	0.00
14.40	95.50	3.18	41.40	23.69	0.00	0.05	0.00
15.40	98.00	3.18	43.40	22.77	0.00	0.00	0.00
