# Distance = 4.74 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.35	14.40	2.82	-0.61	15.45	0.00	54.27	0.00
0.69	24.40	3.97	-1.22	17.95	0.00	43.05	0.00
1.03	29.20	3.26	-2.04	20.19	0.00	30.93	0.00
1.38	32.90	3.73	-1.72	21.43	0.00	26.57	0.00
1.72	37.80	3.41	3.47	22.82	0.00	24.96	0.00
2.07	42.00	3.12	3.53	25.15	0.00	21.49	0.00
2.41	45.10	2.92	4.13	26.82	0.00	19.73	0.00
2.76	47.60	2.79	6.88	28.98	0.00	17.35	0.00
3.10	52.30	2.78	9.39	30.06	0.00	14.95	0.00
3.45	57.30	2.78	11.99	30.89	0.00	12.04	0.00
3.79	61.40	2.93	14.78	31.14	0.00	11.79	0.00
4.14	64.50	3.42	16.87	32.08	0.00	10.85	0.00
4.48	66.40	4.53	18.27	32.77	0.00	9.51	0.00
4.82	66.90	5.46	19.32	33.02	0.00	8.75	0.00
5.17	69.40	4.77	19.78	33.86	0.00	8.46	0.00
5.51	70.20	4.44	19.55	34.37	0.00	6.93	0.00
5.86	70.90	4.24	19.78	34.15	0.00	6.35	0.00
6.20	72.30	4.38	20.48	34.36	0.00	6.28	0.00
6.55	73.90	3.51	21.53	34.78	0.00	5.87	0.00
6.89	75.00	3.22	22.81	35.14	0.00	5.48	0.00
7.25	75.50	3.23	24.09	35.58	0.00	5.16	0.00
7.58	77.10	2.98	25.37	36.10	0.00	4.85	0.00
7.94	77.00	2.79	26.77	36.68	0.00	4.42	0.00
8.27	77.00	2.82	28.28	37.11	0.00	4.01	0.00
8.63	78.20	2.93	29.91	37.49	0.00	3.56	0.00
8.97	79.60	3.14	31.07	37.76	0.00	3.14	0.00
9.30	80.30	3.39	32.12	37.98	0.00	2.76	0.00
9.66	81.20	3.66	33.05	38.12	0.00	2.36	0.00
9.99	82.30	3.90	33.75	38.33	0.00	2.09	0.00
10.35	83.80	4.10	34.21	38.96	0.00	1.89	0.00
10.69	79.00	2.78	34.56	38.32	0.00	0.00	0.00
