# Distance = 68.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.33	90.00	20.00	0.00	44.56	0.00	2070.29	0.00
0.99	125.00	15.00	0.66	93.23	0.00	1190.44	0.00
1.98	148.00	15.00	2.66	132.13	0.00	888.44	0.00
2.64	180.00	17.00	4.03	154.64	0.00	784.11	0.00
3.63	201.00	15.00	6.22	196.69	0.00	702.55	0.00
7.59	206.00	10.00	16.84	221.58	0.00	192.87	0.00
12.50	214.00	5.00	32.06	213.19	0.00	56.10	0.00
17.48	212.00	5.00	44.76	198.92	0.00	17.41	0.00
22.46	213.00	2.00	52.43	175.78	0.00	10.54	0.00
27.44	214.00	2.00	58.37	162.69	0.00	5.26	0.00
32.32	213.00	2.00	63.92	151.18	0.00	2.50	0.00
37.30	213.00	3.00	66.04	139.68	0.00	0.96	0.00
42.28	203.00	3.00	64.42	130.09	0.00	0.33	0.00
