# Distance = 3.16 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.16	24.50	2.83	0.00	23.21	0.00	1105.79	0.00
0.26	35.30	2.46	0.00	35.33	0.00	1006.36	0.00
0.36	43.20	1.12	1.92	46.97	0.00	938.26	0.00
0.46	52.00	1.25	2.29	56.68	0.00	789.78	0.00
0.56	60.90	2.93	2.64	63.77	0.00	624.65	0.00
0.66	65.80	1.25	3.00	67.56	0.00	511.64	0.00
0.76	71.70	1.25	3.34	70.83	0.00	469.31	0.00
0.86	74.60	1.60	3.68	72.80	0.00	402.53	0.00
0.96	74.60	1.03	4.02	74.87	0.00	381.19	0.00
1.06	76.60	1.12	4.37	77.12	0.00	359.63	0.00
1.16	78.50	1.60	4.75	79.47	0.00	345.41	0.00
1.27	83.40	1.80	5.15	82.18	0.00	332.26	0.00
1.36	86.40	1.60	5.51	85.19	0.00	317.57	0.00
1.47	87.40	1.41	5.76	87.94	0.00	297.25	0.00
1.57	90.30	1.41	5.98	90.77	0.00	286.72	0.00
1.67	93.30	1.60	6.21	93.98	0.00	271.01	0.00
1.77	93.30	1.41	6.42	96.86	0.00	252.38	0.00
1.87	95.20	1.25	6.61	99.21	0.00	231.06	0.00
1.97	97.20	1.60	6.81	101.42	0.00	214.50	0.00
2.08	99.10	2.02	7.01	103.79	0.00	203.15	0.00
2.18	98.20	2.02	7.27	106.07	0.00	177.77	0.00
2.28	98.20	1.60	7.54	106.73	0.00	143.26	0.00
2.37	98.20	1.00	7.81	106.19	0.00	125.45	0.00
2.47	97.20	1.12	8.25	105.57	0.00	115.50	0.00
2.57	98.20	1.41	8.77	105.08	0.00	108.64	0.00
2.68	98.20	1.12	9.31	104.39	0.00	99.02	0.00
2.78	98.20	1.60	9.95	103.80	0.00	91.66	0.00
2.88	99.10	2.69	10.97	103.16	0.00	86.76	0.00
2.98	100.00	2.69	11.96	102.68	0.00	83.79	0.00
3.08	102.00	3.16	13.06	102.46	0.00	81.80	0.00
3.19	101.00	3.40	14.06	102.29	0.00	78.36	0.00
3.29	101.00	3.40	15.05	102.51	0.00	75.36	0.00
3.39	103.00	2.93	16.15	102.82	0.00	71.99	0.00
3.49	107.00	2.46	17.15	103.06	0.00	67.49	0.00
3.59	110.00	2.46	18.14	102.95	0.00	62.39	0.00
3.69	112.00	3.40	19.24	103.12	0.00	56.77	0.00
3.79	114.00	5.10	20.24	102.93	0.00	52.43	0.00
3.90	118.00	5.10	21.03	102.50	0.00	47.97	0.00
3.99	118.00	4.85	21.83	101.99	0.00	44.58	0.00
4.47	118.00	5.36	25.72	99.49	0.00	31.94	0.00
4.97	121.00	2.57	27.81	97.06	0.00	24.17	0.00
5.47	124.00	0.22	29.41	94.40	0.00	15.97	0.00
5.96	125.00	0.88	30.70	91.13	0.00	11.31	0.00
6.46	126.00	0.45	31.70	87.90	0.00	7.90	0.00
6.96	126.00	0.55	33.29	84.95	0.00	5.51	0.00
7.45	126.00	0.45	34.99	81.98	0.00	3.88	0.00
7.95	126.00	0.24	36.58	79.11	0.00	2.71	0.00
8.45	127.00	1.45	38.38	76.42	0.00	1.90	0.00
8.94	128.00	1.12	39.97	74.09	0.00	1.34	0.00
9.44	128.00	1.68	41.47	71.75	0.00	0.93	0.00
9.94	127.00	2.56	42.57	69.58	0.00	0.65	0.00
10.43	127.00	1.24	43.96	67.61	0.00	0.46	0.00
10.93	128.00	0.21	45.06	65.75	0.00	0.32	0.00
11.43	130.00	1.13	45.76	64.12	0.00	0.22	0.00
11.92	130.00	2.23	46.15	62.55	0.00	0.16	0.00
12.42	132.00	2.68	46.65	61.06	0.00	0.11	0.00
12.92	133.00	2.68	46.95	59.67	0.00	0.08	0.00
13.42	133.00	3.37	46.75	58.37	0.00	0.05	0.00
13.91	133.00	3.81	46.25	57.26	0.00	0.04	0.00
14.41	133.00	2.56	45.95	56.12	0.00	0.03	0.00
14.91	134.00	0.56	45.66	55.05	0.00	0.02	0.00
15.40	134.00	0.79	45.26	54.06	0.00	0.01	0.00
15.90	133.00	0.67	44.76	53.11	0.00	0.01	0.00
16.40	134.00	2.35	44.16	52.26	0.00	0.01	0.00
16.89	134.00	4.13	43.36	51.43	0.00	0.00	0.00
17.39	136.00	3.91	42.67	50.61	0.00	0.00	0.00
17.89	136.00	6.38	41.87	49.84	0.00	0.00	0.00
18.38	135.00	8.39	41.07	49.16	0.00	0.00	0.00
18.88	133.00	7.83	40.27	48.46	0.00	0.00	0.00
19.38	134.00	6.26	39.87	47.78	0.00	0.00	0.00
19.87	136.00	5.60	39.87	47.15	0.00	0.00	0.00
20.37	135.00	5.24	39.87	46.52	0.00	0.00	0.00
20.87	134.00	3.12	39.87	45.97	0.00	0.00	0.00
