# Distance = 12.5 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.91	29.60	2.38	0.80	7.82	0.00	8.65	0.00
1.81	44.60	2.40	5.58	11.42	0.00	3.94	0.00
2.73	50.40	2.86	7.79	12.30	0.00	2.74	0.00
3.64	56.80	3.43	14.00	13.66	0.00	2.16	0.00
4.55	60.70	2.98	16.12	14.46	0.00	1.44	0.00
5.45	64.70	2.46	18.25	14.91	0.00	0.97	0.00
6.36	68.00	2.38	23.38	14.47	0.00	0.68	0.00
7.28	71.50	2.52	30.00	14.77	0.00	0.58	0.00
8.19	73.40	2.68	33.62	14.75	0.00	0.24	0.00
9.09	74.00	2.83	34.88	13.66	0.00	0.15	0.00
10.00	73.80	3.22	36.00	13.17	0.00	0.13	0.00
10.91	73.90	3.42	35.75	12.83	0.00	0.00	0.00
