# Distance = 3.27 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.12	4.20	3.15	-0.46	3.95	0.00	51.70	0.00
0.36	9.41	1.83	-0.53	11.20	0.00	47.22	0.00
0.59	15.30	1.37	1.73	15.88	0.00	35.13	0.00
0.83	18.40	1.64	4.19	19.68	0.00	28.17	0.00
1.07	23.40	2.08	6.57	22.21	0.00	17.57	0.00
1.31	28.10	2.46	9.69	23.33	0.00	11.56	0.00
1.54	33.10	2.01	12.94	22.77	0.00	7.62	0.00
1.79	37.50	1.62	15.67	22.48	0.00	5.72	0.00
2.02	40.50	1.68	17.89	22.28	0.00	4.38	0.00
2.26	42.30	1.69	19.31	22.00	0.00	2.95	0.00
2.49	45.20	1.91	20.12	21.29	0.00	1.90	0.00
2.74	47.40	1.95	21.03	20.52	0.00	1.32	0.00
2.97	48.10	1.74	22.14	19.83	0.00	0.93	0.00
3.21	48.80	1.08	23.15	19.12	0.00	0.64	0.00
3.44	50.70	1.55	23.96	18.46	0.00	0.45	0.00
3.69	52.10	2.78	24.56	17.79	0.00	0.31	0.00
3.92	53.00	2.98	25.07	17.20	0.00	0.22	0.00
4.16	53.70	2.39	25.27	16.63	0.00	0.15	0.00
4.40	51.20	2.21	25.47	16.10	0.00	0.10	0.00
4.64	51.60	1.45	25.68	15.61	0.00	0.07	0.00
4.87	51.50	1.84	26.18	15.18	0.00	0.05	0.00
5.11	50.40	2.53	26.59	14.76	0.00	0.03	0.00
5.35	48.50	4.60	26.69	14.37	0.00	0.02	0.00
5.59	50.00	5.91	26.59	14.01	0.00	0.02	0.00
5.82	49.00	7.42	26.28	13.70	0.00	0.01	0.00
6.06	49.40	5.92	26.18	13.37	0.00	0.00	0.00
