# Distance = 7.3 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.21	17.40	6.51	1.51	18.55	0.00	410.75	0.00
0.32	31.00	8.86	2.27	25.65	0.00	307.43	0.00
0.43	36.10	8.16	3.03	29.58	0.00	268.58	0.00
0.54	46.00	8.52	3.84	33.96	0.00	241.26	0.00
0.64	58.00	6.90	4.53	36.83	0.00	222.69	0.00
0.74	63.40	9.55	5.28	39.62	0.00	212.03	0.00
0.85	71.90	8.52	6.04	43.11	0.00	206.10	0.00
0.96	76.40	6.82	6.80	46.75	0.00	191.46	0.00
1.07	78.10	6.65	7.62	50.04	0.00	179.91	0.00
1.17	80.50	6.14	8.31	52.76	0.00	167.35	0.00
1.28	82.80	5.80	9.07	55.72	0.00	159.14	0.00
1.38	85.60	6.48	9.82	58.31	0.00	150.35	0.00
1.48	88.00	7.50	10.57	61.08	0.00	139.46	0.00
1.59	92.00	8.52	11.19	63.47	0.00	125.67	0.00
1.70	92.40	8.52	11.92	65.59	0.00	111.41	0.00
1.80	95.10	9.20	12.54	66.83	0.00	99.69	0.00
1.91	96.50	8.52	13.26	68.03	0.00	87.79	0.00
2.02	101.00	8.86	13.88	68.59	0.00	77.06	0.00
2.13	99.90	9.55	14.61	69.00	0.00	68.97	0.00
2.23	103.00	8.18	15.23	69.17	0.00	63.99	0.00
2.34	104.00	8.52	15.96	69.56	0.00	57.94	0.00
2.44	107.00	9.20	16.58	69.75	0.00	52.31	0.00
2.54	107.00	9.55	17.30	69.69	0.00	47.47	0.00
2.65	106.00	11.20	17.92	69.65	0.00	43.16	0.00
2.76	107.00	11.20	18.55	69.52	0.00	39.28	0.00
7.07	104.00	3.11	26.32	52.21	0.00	1.70	0.00
8.49	106.00	2.55	24.76	47.19	0.00	0.49	0.00
9.91	109.00	4.95	22.59	43.11	0.00	0.19	0.00
11.27	110.00	2.83	20.52	40.05	0.00	0.00	0.00
