# Distance = 59.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.28	11.90	7.89	0.95	6.22	0.00	68.00	0.00
0.87	34.80	7.89	2.93	17.64	0.00	60.24	0.00
1.46	58.50	8.68	4.98	27.33	0.00	50.99	0.00
2.05	81.50	14.20	7.20	35.16	0.00	39.39	0.00
2.35	91.80	17.50	8.24	37.71	0.00	33.19	0.00
4.76	114.00	8.68	16.62	45.06	0.00	10.80	0.00
7.86	116.00	8.68	34.33	41.16	0.00	3.01	0.00
8.70	117.00	16.60	39.57	40.09	0.00	2.22	0.00
10.18	118.00	51.90	39.57	38.11	0.00	1.34	0.00
10.47	118.00	40.30	39.57	37.78	0.00	1.24	0.00
