# Distance = 80.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.17	123.00	6.20	2.58	183.66	0.00	2905.87	0.00
1.56	142.00	6.20	3.43	210.66	0.00	2304.03	0.00
1.96	205.00	6.20	4.28	232.37	0.00	1870.29	0.00
2.73	228.00	6.20	5.96	264.64	0.00	1313.72	0.00
3.52	238.00	6.20	7.61	281.54	0.00	825.59	0.00
10.59	229.00	4.20	23.20	269.17	0.00	159.49	0.00
17.65	225.00	6.90	37.46	243.60	0.00	48.01	0.00
24.61	220.00	4.00	47.21	226.69	0.00	36.25	0.00
31.67	222.00	2.40	59.26	219.45	0.00	15.29	0.00
38.74	219.00	4.10	61.77	202.40	0.00	5.94	0.00
45.80	214.00	4.70	58.45	183.36	0.00	2.13	0.00
52.86	216.00	2.60	58.96	169.70	0.00	1.20	0.00
59.82	216.00	8.80	66.89	158.21	0.00	0.00	0.00
