# Distance = 13.5 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.23	6.81	8.19	-0.86	9.67	0.00	142.64	0.00
0.69	20.00	4.09	-1.93	23.77	0.00	114.33	0.00
1.15	33.00	4.00	-3.62	34.70	0.00	92.98	0.00
1.59	42.70	4.00	-4.31	41.73	0.00	70.00	0.00
2.05	49.90	4.00	-3.92	46.70	0.00	54.62	0.00
2.51	55.50	4.00	3.21	50.33	0.00	43.18	0.00
2.97	61.90	4.00	7.43	53.12	0.00	33.14	0.00
3.42	67.90	4.00	10.05	55.10	0.00	25.50	0.00
3.88	73.10	4.00	11.97	55.08	0.00	16.10	0.00
4.34	76.10	3.00	13.61	54.16	0.00	13.06	0.00
4.79	77.80	5.34	14.82	53.32	0.00	9.76	0.00
5.24	79.00	4.00	15.70	52.48	0.00	7.40	0.00
5.70	78.50	5.60	16.36	50.92	0.00	5.05	0.00
6.16	79.80	7.15	16.58	49.36	0.00	4.20	0.00
7.16	83.40	5.12	17.02	46.44	0.00	2.37	0.00
7.52	84.60	4.00	17.46	45.44	0.00	2.01	0.00
7.98	86.10	5.53	18.01	44.24	0.00	1.61	0.00
8.44	87.50	10.20	18.77	43.11	0.00	1.27	0.00
8.90	89.00	7.77	19.76	41.91	0.00	0.96	0.00
9.35	90.40	5.16	20.86	40.72	0.00	0.84	0.00
9.62	91.20	13.70	21.63	40.12	0.00	0.83	0.00
