# Distance = 18.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.74	145.00	6.80	17.89	202.16	0.00	1038.77	0.00
3.50	174.00	6.80	17.67	210.45	0.00	328.04	0.00
5.24	194.00	6.40	27.48	211.51	0.00	137.00	0.00
6.98	190.00	5.50	42.57	187.95	0.00	48.78	0.00
8.81	186.00	5.80	48.28	172.49	0.00	34.30	0.00
10.90	188.00	7.00	45.48	161.01	0.00	15.26	0.00
13.12	187.00	8.50	43.32	148.11	0.00	5.31	0.00
15.33	179.00	12.60	43.11	134.96	0.00	1.91	0.00
17.30	176.00	11.70	43.21	126.37	0.00	0.93	0.00
19.05	167.00	13.50	44.51	119.30	0.00	0.00	0.00
