# Distance = 8.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.58	23.90	3.87	1.43	21.96	0.00	135.84	0.00
1.17	34.70	3.87	3.24	34.79	0.00	96.51	0.00
1.75	42.80	3.87	-0.61	43.08	0.00	71.26	0.00
2.33	51.30	3.87	-3.66	48.67	0.00	55.55	0.00
2.91	57.70	3.87	9.71	52.39	0.00	42.67	0.00
3.50	67.30	3.87	13.91	55.75	0.00	35.03	0.00
4.07	75.40	3.87	18.68	58.69	0.00	28.37	0.00
4.65	79.50	3.87	24.75	61.08	0.00	21.05	0.00
5.23	82.80	3.87	27.13	61.82	0.00	14.07	0.00
5.82	85.60	3.87	28.72	60.87	0.00	9.18	0.00
