# Distance = 90.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.44	15.70	9.10	-2.08	12.26	0.00	98.11	0.00
1.32	44.50	9.10	-5.39	28.49	0.00	57.84	0.00
2.20	69.40	9.10	-6.26	35.84	0.00	38.81	0.00
3.08	90.00	11.40	-3.53	40.15	0.00	24.49	0.00
3.96	105.00	9.88	1.83	41.23	0.00	19.47	0.00
4.84	113.00	16.20	8.40	42.44	0.00	16.02	0.00
5.53	117.00	24.80	13.64	43.19	0.00	13.79	0.00
7.48	124.00	9.10	27.27	47.20	0.00	10.81	0.00
8.37	127.00	9.10	32.13	48.60	0.00	8.48	0.00
9.24	130.00	9.10	36.26	48.96	0.00	6.88	0.00
10.13	133.00	9.10	39.77	48.92	0.00	5.70	0.00
13.23	142.00	23.80	47.41	49.96	0.00	3.23	0.00
