# Distance = 89.5 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.42	35.70	9.10	-1.70	15.39	0.00	166.94	0.00
1.47	83.30	9.30	-4.30	40.70	0.00	105.56	0.00
2.11	94.20	10.40	-3.80	48.70	0.00	77.92	0.00
2.84	97.60	9.10	-0.80	53.60	0.00	57.77	0.00
3.90	101.00	9.10	5.90	57.61	0.00	47.14	0.00
4.74	105.00	16.70	10.47	63.10	0.00	41.35	0.00
5.69	106.00	9.10	13.24	67.96	0.00	32.17	0.00
6.32	108.00	11.50	14.88	69.85	0.00	27.41	0.00
7.37	110.00	23.00	17.96	72.36	0.00	20.81	0.00
8.21	112.00	19.70	20.83	72.55	0.00	16.56	0.00
9.16	113.00	9.10	23.19	73.73	0.00	13.22	0.00
10.85	114.00	9.10	26.37	73.37	0.00	7.53	0.00
12.21	114.00	9.10	28.32	69.96	0.00	4.36	0.00
15.16	114.00	11.20	33.04	63.57	0.00	1.75	0.00
