# Distance = 14.1 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
3.44	285.00	14.40	-0.57	163.40	239.50	560.42	13.23
3.77	297.00	13.60	-0.57	171.13	229.25	537.66	5.28
4.13	303.00	8.47	-0.43	180.88	219.24	507.23	1.94
4.47	306.00	5.93	-0.10	188.37	210.91	465.98	0.76
4.80	307.00	5.93	-0.19	194.64	203.54	438.69	0.30
5.13	304.00	8.47	-0.28	200.57	196.88	413.05	0.12
5.48	308.00	8.47	-0.38	206.64	190.44	383.91	0.05
5.83	313.00	12.70	-0.48	211.29	184.57	352.60	0.02
6.16	314.00	9.32	-0.53	215.14	179.57	340.73	0.01
6.51	315.00	6.78	3.83	221.84	174.68	329.32	0.00
6.86	317.00	8.47	8.02	227.72	170.15	300.88	0.00
7.18	320.00	7.63	12.15	231.73	166.32	276.70	0.00
7.51	316.00	20.50	16.24	235.48	162.63	259.76	0.00
7.85	318.00	23.40	20.27	239.96	159.08	241.28	0.00
8.21	321.00	8.48	24.66	243.42	155.54	214.54	0.00
8.57	323.00	8.66	27.10	245.15	152.23	187.05	0.00
8.90	321.00	12.70	29.42	245.80	149.38	167.67	0.00
9.24	323.00	11.00	31.74	245.24	146.61	150.42	0.00
9.60	323.00	10.40	34.31	244.14	143.83	136.11	0.00
9.93	322.00	13.60	36.63	243.64	141.42	126.37	0.00
10.27	321.00	13.60	38.95	243.60	139.06	118.70	0.00
10.60	323.00	9.32	41.02	243.38	136.88	108.16	0.00
10.93	322.00	11.90	43.22	243.08	134.80	97.33	0.00
11.27	321.00	11.00	45.42	242.44	132.75	86.07	0.00
12.31	323.00	4.24	52.25	237.30	127.02	60.76	0.00
14.35	319.00	4.24	56.77	222.06	117.64	30.36	0.00
16.40	308.00	4.24	51.89	207.98	110.04	19.68	0.00
18.48	299.00	5.66	48.35	196.87	103.67	11.59	0.00
20.57	299.00	5.66	54.45	185.72	98.26	7.00	0.00
22.51	298.00	5.66	63.61	176.98	93.93	4.66	0.00
24.59	296.00	5.66	66.17	168.93	89.87	3.04	0.00
26.68	293.00	4.24	61.90	161.21	86.28	1.15	0.00
28.77	289.00	4.24	58.85	153.59	83.08	0.69	0.00
30.70	289.00	4.24	57.01	147.56	80.43	0.41	0.00
32.79	288.00	4.24	57.38	141.95	77.82	0.23	0.00
34.88	285.00	4.24	60.43	136.82	75.46	0.13	0.00
36.96	283.00	2.83	64.09	132.38	73.30	0.07	0.00
38.90	275.00	2.83	66.90	128.66	71.45	0.04	0.00
40.99	272.00	2.83	68.61	124.87	69.61	0.02	0.00
43.08	271.00	2.83	68.98	121.52	67.90	0.01	0.00
45.16	274.00	4.24	67.76	118.47	66.31	0.01	0.00
47.10	277.00	4.24	65.19	115.75	64.93	0.00	0.00
49.19	281.00	4.24	62.26	113.11	63.54	0.00	0.00
51.27	286.00	4.24	60.55	110.59	62.24	0.00	0.00
53.36	282.00	4.24	60.55	108.30	61.01	0.00	0.00
55.30	283.00	4.24	62.39	106.31	59.93	0.00	0.00
57.38	288.00	5.66	64.95	104.23	58.83	0.00	0.00
59.47	287.00	5.66	67.27	102.32	57.79	0.00	0.00
61.56	289.00	7.07	68.49	100.51	56.80	0.00	0.00
63.64	294.00	7.07	68.73	98.76	55.86	0.00	0.00
