# Distance = 4.25 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.41	15.00	4.10	10.41	8.28	0.00	20.43	0.00
0.82	23.40	1.30	18.08	12.66	0.00	14.59	0.00
1.24	29.20	1.50	20.09	15.11	0.00	8.79	0.00
1.64	36.20	1.10	20.20	15.99	0.00	5.90	0.00
2.06	44.00	1.10	22.00	16.89	0.00	4.09	0.00
2.47	52.10	1.20	22.63	17.03	0.00	2.87	0.00
2.89	52.90	1.70	22.95	16.99	0.00	2.09	0.00
3.30	54.80	2.20	22.74	17.19	0.00	1.56	0.00
3.71	55.00	2.50	22.74	17.16	0.00	0.82	0.00
4.12	52.00	2.70	22.74	16.37	0.00	0.00	0.00
