# Distance = 2.08 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.91	33.10	3.90	0.00	31.52	0.00	90.50	0.00
1.36	46.70	2.70	0.00	37.50	0.00	67.25	0.00
1.82	53.90	4.70	0.00	42.04	0.00	53.80	0.00
2.27	58.80	2.50	2.86	46.16	0.00	41.88	0.00
2.72	65.60	2.60	7.40	48.37	0.00	31.96	0.00
3.17	70.80	2.70	8.38	49.78	0.00	24.71	0.00
3.63	82.10	4.90	8.42	50.48	0.00	18.99	0.00
4.08	84.10	6.60	9.19	50.65	0.00	14.68	0.00
4.54	83.40	6.20	12.00	50.39	0.00	11.28	0.00
4.99	81.50	2.70	12.98	49.84	0.00	8.72	0.00
5.45	80.80	4.00	13.57	49.05	0.00	6.70	0.00
5.90	82.80	12.40	15.44	48.12	0.00	5.18	0.00
6.36	88.20	11.70	20.16	47.07	0.00	3.98	0.00
6.81	88.50	8.50	24.20	45.98	0.00	3.08	0.00
7.26	88.40	8.90	27.05	44.86	0.00	2.38	0.00
7.71	88.20	10.80	28.23	43.73	0.00	1.84	0.00
8.17	89.50	3.10	27.84	42.59	0.00	1.41	0.00
8.62	89.70	9.50	26.95	41.50	0.00	1.09	0.00
9.07	93.70	7.30	26.46	40.45	0.00	0.84	0.00
9.53	97.00	5.70	26.26	39.41	0.00	0.65	0.00
9.96	96.20	1.50	25.18	38.50	0.00	0.51	0.00
10.45	94.80	2.10	24.10	37.50	0.00	0.38	0.00
10.93	92.50	13.90	23.02	36.62	0.00	0.29	0.00
11.32	92.80	10.60	22.03	35.97	0.00	0.23	0.00
11.80	93.50	12.10	21.74	35.19	0.00	0.00	0.00
