# Distance = 5.52 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.19	153.00	8.00	0.96	24.40	233.17	1609.94	5052.70
0.56	130.00	9.00	2.86	62.52	168.53	1346.02	485.78
0.94	128.00	3.00	4.50	91.94	137.01	1105.63	4.79
1.22	134.00	3.00	5.34	109.48	120.39	984.97	0.11
1.59	129.00	4.00	6.46	127.82	105.47	802.43	0.00
1.96	131.00	7.00	6.51	138.39	94.99	679.40	0.00
2.34	138.00	8.00	6.51	151.17	86.94	641.26	0.00
2.71	139.00	5.00	6.44	166.55	80.79	529.81	0.00
2.99	143.00	3.00	6.38	170.50	76.91	471.62	0.00
3.37	146.00	2.00	7.55	177.07	72.44	404.45	0.00
3.74	154.00	2.00	10.54	180.71	68.77	348.88	0.00
4.12	161.00	1.00	12.86	184.13	65.52	319.37	0.00
4.40	167.00	2.00	13.54	187.91	63.40	300.02	0.00
4.77	173.00	2.00	14.41	193.15	60.89	267.87	0.00
5.15	176.00	4.00	17.51	197.95	58.60	241.97	0.00
5.52	178.00	5.00	20.80	204.45	56.60	207.99	0.00
5.89	180.00	3.00	23.41	204.89	54.80	141.70	0.00
6.17	179.00	4.00	25.15	201.57	53.54	126.19	0.00
6.55	180.00	5.00	27.66	200.86	51.96	123.94	0.00
6.92	181.00	4.00	31.15	201.34	50.55	98.46	0.00
7.30	179.00	4.00	34.05	198.33	49.22	72.51	0.00
7.58	179.00	2.00	34.92	194.96	48.30	60.13	0.00
7.95	179.00	1.00	35.89	189.92	47.17	49.35	0.00
8.33	178.00	1.00	37.34	184.93	46.08	46.41	0.00
8.70	177.00	2.00	38.88	182.77	45.09	46.83	0.00
9.08	176.00	2.00	39.08	181.24	44.13	41.04	0.00
9.36	173.00	3.00	38.40	179.87	43.47	35.55	0.00
9.73	172.00	2.00	37.72	177.19	42.63	30.10	0.00
10.10	172.00	2.00	37.43	174.69	41.85	25.97	0.00
10.48	170.00	2.00	37.14	171.99	41.08	22.33	0.00
10.76	171.00	2.00	36.66	170.15	40.54	19.90	0.00
11.13	174.00	2.00	35.89	167.51	39.86	17.13	0.00
11.51	174.00	2.00	36.08	164.95	39.20	14.62	0.00
11.88	175.00	2.00	36.76	162.35	38.58	12.58	0.00
12.26	174.00	2.00	37.82	159.81	37.98	10.77	0.00
12.54	173.00	6.00	38.79	158.00	37.55	9.59	0.00
12.91	173.00	6.00	40.14	155.62	37.01	8.27	0.00
13.29	173.00	8.00	42.08	153.17	36.48	7.06	0.00
13.66	175.00	9.00	44.01	150.89	35.98	6.08	0.00
14.03	174.00	9.00	45.46	148.68	35.50	5.22	0.00
14.31	171.00	9.00	46.53	147.06	35.16	4.65	0.00
14.69	167.00	8.00	45.94	144.87	34.70	3.99	0.00
15.06	165.00	7.00	44.59	142.80	34.27	3.42	0.00
15.44	163.00	8.00	44.01	140.80	33.84	2.94	0.00
15.72	162.00	8.00	44.20	139.35	33.54	2.61	0.00
16.09	161.00	9.00	33.85	137.46	33.15	2.25	0.00
16.47	159.00	10.00	33.85	135.59	32.77	1.93	0.00
16.84	158.00	10.00	33.85	133.88	32.41	1.65	0.00
17.21	157.00	10.00	33.85	132.20	32.06	1.42	0.00
17.50	157.00	10.00	33.85	130.89	31.79	1.26	0.00
17.87	157.00	9.00	33.85	129.30	31.46	1.09	0.00
18.24	160.00	11.00	33.85	127.80	31.14	0.93	0.00
18.62	159.00	12.00	33.85	126.30	30.82	0.80	0.00
18.90	160.00	14.00	33.85	125.20	30.59	0.71	0.00
19.27	158.00	16.00	33.85	123.92	30.30	0.61	0.00
19.65	155.00	18.00	33.85	122.75	30.00	0.52	0.00
20.02	157.00	19.00	33.85	121.08	29.72	0.00	0.00
20.40	154.00	21.00	33.85	119.50	29.44	0.00	0.00
