# Distance = 13.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.32	24.40	35.90	0.00	63.28	0.00	1084.92	0.00
0.64	43.30	16.30	0.00	73.66	0.00	590.57	0.00
0.96	45.50	16.10	0.00	78.98	0.00	410.97	0.00
1.28	58.50	15.40	0.35	82.70	0.00	329.34	0.00
1.61	68.80	7.61	0.15	84.22	0.00	268.62	0.00
1.93	76.90	10.30	-0.05	83.17	0.00	247.67	0.00
2.24	82.00	8.09	-0.47	87.04	0.00	227.56	0.00
2.57	86.90	7.60	-0.95	88.91	0.00	205.02	0.00
2.89	97.60	3.03	-1.43	88.98	0.00	200.20	0.00
3.21	100.00	5.31	-1.14	93.81	0.00	208.58	0.00
3.54	107.00	7.51	-0.39	101.22	0.00	208.47	0.00
3.85	113.00	7.32	0.36	108.53	0.00	196.07	0.00
4.17	117.00	5.21	1.52	115.51	0.00	179.96	0.00
4.50	119.00	5.67	3.07	120.51	0.00	164.19	0.00
4.82	127.00	5.39	4.63	125.42	0.00	150.99	0.00
5.15	132.00	4.34	6.02	129.40	0.00	138.08	0.00
5.46	134.00	2.36	7.16	133.15	0.00	126.00	0.00
5.78	137.00	0.89	8.31	136.45	0.00	113.63	0.00
6.10	140.00	2.84	9.46	139.41	0.00	101.19	0.00
6.43	142.00	0.88	10.61	141.85	0.00	86.52	0.00
6.74	144.00	1.23	11.77	142.32	0.00	70.23	0.00
7.06	146.00	1.57	12.87	140.94	0.00	57.67	0.00
8.04	147.00	3.00	16.39	135.68	0.00	40.74	0.00
9.04	148.00	3.00	20.03	130.79	0.00	31.83	0.00
10.04	152.00	2.00	23.68	128.10	0.00	26.64	0.00
11.04	155.00	2.00	27.08	126.67	0.00	21.02	0.00
12.05	156.00	2.00	30.11	124.98	0.00	15.42	0.00
14.05	157.00	2.00	34.48	118.12	0.00	6.42	0.00
16.07	153.00	2.00	36.43	108.22	0.00	2.95	0.00
18.13	153.00	2.00	37.76	101.10	0.00	2.39	0.00
20.05	154.00	2.00	39.83	96.40	0.00	1.44	0.00
22.12	153.00	2.00	40.92	91.56	0.00	0.72	0.00
24.03	150.00	2.00	41.77	87.03	0.00	0.28	0.00
26.10	149.00	2.00	43.71	82.67	0.00	0.16	0.00
28.16	148.00	2.00	45.41	79.06	0.00	0.08	0.00
30.08	146.00	2.00	45.29	76.07	0.00	0.04	0.00
32.14	147.00	2.00	44.56	73.27	0.00	0.02	0.00
34.06	148.00	2.00	44.81	70.91	0.00	0.01	0.00
36.12	148.00	2.00	45.90	68.62	0.00	0.01	0.00
38.19	149.00	2.00	46.75	66.59	0.00	0.00	0.00
40.10	150.00	2.00	47.48	64.84	0.00	0.00	0.00
42.17	150.00	3.00	48.93	63.10	0.00	0.00	0.00
44.08	149.00	3.00	47.84	61.63	0.00	0.00	0.00
