# Distance = 17.0 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.34	35.50	2.10	-2.27	41.97	0.00	934.63	0.00
0.67	62.40	4.20	-3.73	62.26	0.00	735.05	0.00
1.00	90.70	3.80	-5.02	80.40	0.00	565.71	0.00
1.32	104.00	2.00	-6.13	86.74	0.00	426.63	0.00
1.65	105.00	2.40	-7.07	92.13	0.00	379.56	0.00
1.98	108.00	2.00	-7.85	97.94	0.00	356.73	0.00
2.31	116.00	2.30	-8.46	104.95	0.00	324.56	0.00
2.63	130.00	3.30	-8.80	112.27	0.00	313.54	0.00
2.96	141.00	2.20	-8.85	120.94	0.00	291.35	0.00
3.28	146.00	1.60	-8.55	129.34	0.00	267.64	0.00
3.61	150.00	1.40	-7.82	137.29	0.00	237.08	0.00
3.94	152.00	1.10	-6.39	143.65	0.00	203.58	0.00
4.27	155.00	1.30	-3.64	148.22	0.00	167.76	0.00
4.60	152.00	1.80	4.74	149.97	0.00	135.40	0.00
4.94	150.00	2.40	8.31	149.81	0.00	108.33	0.00
5.30	147.00	5.50	11.17	147.82	0.00	88.44	0.00
5.63	145.00	3.80	13.71	145.90	0.00	80.36	0.00
5.96	152.00	4.10	15.93	145.72	0.00	73.42	0.00
6.27	149.00	1.40	18.03	145.22	0.00	63.15	0.00
8.24	149.00	4.00	27.98	136.77	0.00	23.82	0.00
10.30	146.00	4.00	36.61	123.80	0.00	11.23	0.00
11.13	149.00	3.20	39.92	119.88	0.00	8.66	0.00
11.95	152.00	2.80	43.13	116.47	0.00	5.98	0.00
12.72	153.00	2.40	45.67	112.55	0.00	3.85	0.00
13.58	156.00	2.20	47.33	108.33	0.00	2.84	0.00
14.43	158.00	2.80	48.11	104.74	0.00	2.01	0.00
15.29	158.00	3.10	48.44	101.40	0.00	1.41	0.00
16.02	159.00	3.80	48.44	98.71	0.00	0.96	0.00
16.88	161.00	3.60	48.11	95.60	0.00	0.61	0.00
17.73	163.00	4.00	47.66	92.80	0.00	0.44	0.00
18.59	162.00	4.80	47.00	90.22	0.00	0.30	0.00
19.32	164.00	5.70	46.67	88.20	0.00	0.22	0.00
20.18	165.00	7.00	46.56	85.97	0.00	0.15	0.00
21.04	166.00	6.30	46.12	83.92	0.00	0.10	0.00
21.89	163.00	7.00	45.56	82.02	0.00	0.07	0.00
22.63	159.00	8.50	45.34	80.48	0.00	0.05	0.00
23.48	155.00	9.10	45.12	78.82	0.00	0.04	0.00
24.34	154.00	8.00	44.68	77.25	0.00	0.03	0.00
25.19	149.00	5.40	44.57	75.79	0.00	0.02	0.00
25.93	153.00	3.10	46.56	74.58	0.00	0.01	0.00
26.78	156.00	3.00	42.58	73.28	0.00	0.01	0.00
27.64	151.00	9.40	40.70	72.03	0.00	0.01	0.00
28.37	158.00	7.70	39.26	71.03	0.00	0.00	0.00
29.23	152.00	3.40	38.26	69.88	0.00	0.00	0.00
