# Distance = 20.8 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
1.50	164.00	28.20	3.86	179.05	0.00	1392.39	0.00
2.52	194.00	32.00	5.64	226.49	0.00	684.62	0.00
3.46	175.00	25.20	6.85	215.85	0.00	390.61	0.00
4.32	185.00	31.50	7.40	220.68	0.00	299.95	0.00
5.43	175.00	27.90	6.00	221.66	0.00	148.10	0.00
6.38	167.00	27.20	4.74	211.57	0.00	68.44	0.00
7.57	176.00	7.18	7.37	198.06	0.00	40.47	0.00
10.60	185.00	4.29	21.99	170.85	0.00	14.69	0.00
13.57	183.00	4.22	32.44	151.82	0.00	5.42	0.00
16.64	172.00	4.33	38.81	136.17	0.00	3.34	0.00
19.71	161.00	4.24	42.50	127.01	0.00	3.06	0.00
22.68	156.00	5.08	49.56	119.49	0.00	1.47	0.00
25.75	159.00	6.49	54.94	111.50	0.00	0.76	0.00
28.72	173.00	6.97	55.53	105.68	0.00	0.64	0.00
31.79	177.00	6.57	60.71	100.59	0.00	0.40	0.00
34.77	179.00	4.47	65.78	96.09	0.00	0.25	0.00
37.84	181.00	4.26	67.48	92.02	0.00	0.16	0.00
40.81	182.00	4.26	68.67	88.49	0.00	0.10	0.00
43.88	182.00	4.83	68.27	85.15	0.00	0.06	0.00
46.85	180.00	5.50	67.18	82.29	0.00	0.04	0.00
49.92	177.00	8.50	65.98	79.64	0.00	0.03	0.00
52.99	175.00	11.00	65.09	77.21	0.00	0.02	0.00
55.96	172.00	11.60	64.29	75.06	0.00	0.01	0.00
59.03	168.00	12.60	62.60	72.97	0.00	0.01	0.00
62.00	158.00	5.38	59.81	71.15	0.00	0.00	0.00
65.07	158.00	6.50	57.13	69.42	0.00	0.00	0.00
68.05	166.00	15.50	55.14	67.85	0.00	0.00	0.00
71.12	165.00	8.75	53.24	66.34	0.00	0.00	0.00
