# Distance = 58.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.31	3.10	4.50	1.00	4.05	0.00	29.26	0.00
1.47	15.70	8.50	4.69	16.67	0.00	21.05	0.00
2.52	28.00	10.00	7.69	21.39	0.00	16.18	0.00
3.35	36.00	11.00	9.58	24.52	0.00	12.24	0.00
4.09	43.60	4.50	11.47	24.68	0.00	10.94	0.00
4.82	49.80	4.50	13.00	26.85	0.00	11.55	0.00
6.60	61.50	4.50	16.38	35.05	0.00	8.67	0.00
7.86	68.10	12.20	18.53	38.67	0.00	7.08	0.00
9.43	73.40	12.20	20.89	42.63	0.00	4.37	0.00
11.43	77.60	11.00	23.34	39.29	0.00	0.82	0.00
22.85	78.90	11.00	36.96	26.56	0.00	0.00	0.00
