# Distance = 53.3 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.22	12.40	7.00	0.92	38.29	0.00	1846.57	0.00
0.78	37.50	4.00	2.67	85.69	0.00	705.48	0.00
1.33	56.50	4.00	3.90	104.00	0.00	403.21	0.00
2.33	69.10	4.00	5.34	114.45	0.00	121.25	0.00
3.44	85.50	7.50	7.09	107.32	0.00	35.98	0.00
3.78	87.10	8.40	7.29	103.70	0.00	25.02	0.00
4.77	105.00	4.00	8.42	92.03	0.00	8.51	0.00
5.44	112.00	6.70	8.94	86.43	0.00	6.64	0.00
6.11	116.00	4.00	9.45	81.42	0.00	6.17	0.00
7.22	124.00	4.00	10.47	76.23	0.00	5.40	0.00
9.33	135.00	4.00	11.28	68.45	0.00	2.80	0.00
11.10	140.00	4.00	11.80	64.24	0.00	1.77	0.00
15.55	144.00	5.00	11.28	55.43	0.00	0.00	0.00
