# Distance = 3.21 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.23	13.10	2.19	2.45	11.60	0.00	35.93	0.00
0.47	17.30	2.39	4.75	13.88	0.00	9.96	0.00
0.70	23.60	2.21	6.71	13.02	0.00	2.76	0.00
0.93	26.20	2.21	7.80	11.93	0.00	1.21	0.00
1.17	27.40	2.24	8.39	10.78	0.00	0.32	0.00
1.40	26.90	2.23	8.84	9.72	0.00	0.10	0.00
1.64	27.40	2.21	9.23	8.89	0.00	0.03	0.00
1.87	31.00	2.20	9.41	8.25	0.00	0.01	0.00
2.10	32.50	2.19	9.55	7.73	0.00	0.00	0.00
2.33	33.00	2.19	10.05	7.30	0.00	0.00	0.00
2.57	36.50	2.20	10.65	6.92	0.00	0.00	0.00
2.80	38.90	2.21	11.28	6.62	0.00	0.00	0.00
3.26	41.50	2.21	12.00	6.11	0.00	0.00	0.00
3.73	42.70	2.20	12.41	5.70	0.00	0.00	0.00
4.21	44.70	2.22	13.14	5.36	0.00	0.00	0.00
4.67	46.70	2.24	13.55	5.09	0.00	0.00	0.00
5.14	48.50	2.27	13.86	4.84	0.00	0.00	0.00
5.61	50.00	2.32	13.86	4.63	0.00	0.00	0.00
6.07	50.20	2.40	13.76	4.45	0.00	0.00	0.00
6.54	50.10	2.57	13.55	4.29	0.00	0.00	0.00
7.00	51.60	3.24	13.34	4.14	0.00	0.00	0.00
