# Distance = 15.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.76	206.00	16.00	2.44	95.41	277.30	2166.20	3616.11
2.28	214.00	10.00	5.15	214.07	218.08	1233.88	0.00
3.80	222.00	8.00	8.48	237.47	168.95	307.23	0.00
5.33	224.00	8.00	16.65	222.81	142.66	137.83	0.00
6.85	225.00	8.00	22.40	206.17	125.84	63.77	0.00
8.00	222.00	6.00	24.58	191.74	116.44	46.48	0.00
10.28	220.00	3.00	28.49	177.55	102.72	37.35	0.00
12.56	218.00	2.00	30.21	168.02	92.93	20.51	0.00
14.91	219.00	2.00	36.41	156.39	85.29	11.48	0.00
17.15	217.00	2.00	41.69	147.04	79.53	8.58	0.00
19.39	218.00	2.00	45.72	140.32	74.79	7.31	0.00
21.64	220.00	2.00	51.92	136.88	70.80	5.24	0.00
24.01	222.00	2.00	56.74	130.88	67.21	2.49	0.00
26.25	218.00	3.00	58.35	124.11	64.28	1.28	0.00
28.50	217.00	3.00	56.74	118.34	61.69	0.89	0.00
30.87	207.00	3.00	53.30	113.45	59.28	0.64	0.00
33.12	199.00	3.00	51.34	109.20	57.23	0.40	0.00
35.36	191.00	3.00	48.70	105.32	55.39	0.26	0.00
37.73	193.00	3.00	46.75	101.61	53.62	0.16	0.00
39.98	192.00	3.00	45.26	98.44	52.09	0.11	0.00
42.22	194.00	4.00	43.99	95.58	50.69	0.07	0.00
44.59	196.00	5.00	42.84	92.77	49.32	0.00	0.00
