# Distance = 7.47 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.36	21.45	1.99	2.75	5.37	0.00	14.80	0.00
0.73	31.30	1.58	6.05	10.22	0.00	11.43	0.00
1.09	41.70	1.16	9.40	11.44	0.00	3.66	0.00
1.45	48.35	0.44	12.81	11.24	0.00	2.65	0.00
1.81	50.60	0.37	16.05	11.43	0.00	2.03	0.00
2.17	54.05	0.59	18.46	11.43	0.00	1.59	0.00
2.54	55.80	0.76	20.04	11.39	0.00	1.06	0.00
2.90	54.55	0.71	20.71	11.38	0.00	0.81	0.00
3.26	50.00	2.65	20.29	11.12	0.00	0.56	0.00
3.62	49.90	2.77	19.63	11.17	0.00	0.44	0.00
