# Distance = 6.87 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
0.50	24.20	2.18	-0.51	24.79	0.00	167.58	0.00
1.00	42.00	2.91	-5.39	39.13	0.00	101.17	0.00
1.50	59.40	2.40	-5.79	45.87	0.00	67.11	0.00
2.00	63.90	2.01	7.68	49.56	0.00	35.27	0.00
2.49	66.00	2.00	15.55	48.96	0.00	24.90	0.00
3.00	67.20	2.07	19.33	48.14	0.00	18.24	0.00
3.49	68.70	2.38	19.89	46.88	0.00	13.06	0.00
4.00	71.30	2.91	25.08	45.84	0.00	12.13	0.00
4.49	72.50	3.21	25.36	46.88	0.00	11.01	0.00
5.01	74.00	3.41	26.06	48.01	0.00	7.73	0.00
5.50	76.20	3.17	28.30	47.84	0.00	5.00	0.00
