# Distance = 39.7 Mpc
# Rad	Vobs	errV	Vgas	Vdisk	Vbul	SBdisk	SBbul		
# kpc	km/s	km/s	km/s	km/s	km/s	L/pc^2	L/pc^2
3.54	223.00	8.00	-9.23	117.85	111.10	339.07	0.95
4.23	230.00	6.13	-10.88	124.82	101.71	298.47	0.10
4.97	248.00	5.10	-12.52	131.42	93.86	286.51	0.01
5.74	258.00	6.60	-13.93	141.81	87.33	272.43	0.00
6.47	263.00	7.00	-14.91	151.83	82.27	259.83	0.00
7.22	272.00	6.25	-15.46	163.57	77.87	245.34	0.00
8.02	287.00	4.01	-16.00	173.43	73.88	221.13	0.00
8.79	289.00	7.25	-16.33	181.85	70.57	206.96	0.00
9.50	292.00	6.93	-16.22	190.10	67.89	195.87	0.00
10.27	302.00	10.40	-15.46	200.43	65.29	182.80	0.00
11.08	302.00	10.30	-13.50	209.52	62.86	157.00	0.00
11.82	304.00	10.40	-9.20	214.14	60.86	137.98	0.00
12.56	303.00	10.40	5.72	217.36	59.04	121.99	0.00
13.39	305.00	10.10	13.39	220.24	57.18	107.78	0.00
14.10	300.00	8.78	17.64	222.33	55.72	94.35	0.00
14.93	295.00	9.72	21.66	222.27	54.15	78.95	0.00
15.64	294.00	5.32	24.38	221.26	52.91	70.86	0.00
16.35	290.00	5.32	26.24	221.10	51.75	65.30	0.00
17.18	291.00	4.03	27.98	220.98	50.48	55.24	0.00
17.89	286.00	3.25	29.72	218.99	49.47	45.95	0.00
18.72	287.00	3.61	31.57	215.15	48.36	40.15	0.00
19.44	294.00	3.35	33.20	212.39	47.46	37.57	0.00
20.26	290.00	3.75	35.16	210.49	46.49	34.32	0.00
20.98	288.00	3.04	37.01	208.75	45.68	31.09	0.00
21.69	290.00	6.40	38.65	206.74	44.93	28.12	0.00
22.52	294.00	4.19	40.50	204.38	44.09	25.48	0.00
23.23	297.00	4.12	41.91	202.43	43.41	23.71	0.00
24.06	293.00	5.15	43.22	200.72	42.66	22.00	0.00
24.77	291.00	6.21	44.20	199.42	42.04	20.53	0.00
25.95	297.00	4.00	45.18	197.86	41.07	18.46	0.00
28.92	292.00	4.00	43.33	193.43	38.91	10.08	0.00
31.76	288.00	4.00	45.72	184.74	37.13	6.27	0.00
34.72	285.00	4.00	47.57	180.34	35.51	3.62	0.00
